ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.33492,0.10494,0.15980,3

ROUGE-L+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.41160,0.33532,0.36957,3

ROUGE-1+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.42955,0.46201,0.44519,3

ROUGE-2+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.11745,0.13795,0.12688,3

ROUGE-SU4+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.22043,0.19276,0.20567,3

ROUGE-L+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.41492,0.26015,0.31980,5

ROUGE-1+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.49386,0.34063,0.40318,5

ROUGE-2+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.13600,0.07176,0.09395,5

ROUGE-SU4+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.26628,0.11653,0.16211,5

ROUGE-L+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.49233,0.30818,0.37908,4

ROUGE-1+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.62235,0.40800,0.49288,4

ROUGE-2+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.33448,0.20841,0.25680,4

ROUGE-SU4+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.40634,0.22683,0.29114,4

ROUGE-L+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.44990,0.29154,0.35381,3

ROUGE-1+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.56202,0.37576,0.45039,3

ROUGE-2+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.18745,0.10375,0.13357,3

ROUGE-SU4+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.30024,0.14225,0.19304,3

ROUGE-L+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.53315,0.25677,0.34661,3

ROUGE-1+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.68230,0.31158,0.42780,3

ROUGE-2+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.22899,0.10985,0.14848,3

ROUGE-SU4+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.34127,0.13848,0.19701,3

ROUGE-L+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.51180,0.26166,0.34628,3

ROUGE-1+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.59842,0.30101,0.40054,3

ROUGE-2+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.20009,0.08069,0.11500,3

ROUGE-SU4+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.35102,0.11352,0.17155,3

ROUGE-L+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.50163,0.12788,0.20380,3

ROUGE-1+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.66363,0.13515,0.22457,3

ROUGE-2+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.18695,0.03265,0.05559,3

ROUGE-SU4+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.33618,0.05338,0.09213,3

ROUGE-L+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.57421,0.23990,0.33841,4

ROUGE-1+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.65846,0.19453,0.30033,4

ROUGE-2+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.32041,0.06796,0.11214,4

ROUGE-SU4+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.45430,0.08328,0.14075,4

ROUGE-L+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.44293,0.29486,0.35403,3

ROUGE-1+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.54788,0.35257,0.42905,3

ROUGE-2+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.19857,0.09313,0.12679,3

ROUGE-SU4+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.34279,0.12680,0.18512,3

ROUGE-L+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.48622,0.24782,0.32831,3

ROUGE-1+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.54440,0.36623,0.43788,3

ROUGE-2+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.18204,0.08870,0.11928,3

ROUGE-SU4+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.32199,0.13080,0.18603,3

ROUGE-L+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.52841,0.15585,0.24071,3

ROUGE-1+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.68125,0.20511,0.31529,3

ROUGE-2+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.18160,0.04564,0.07295,3

ROUGE-SU4+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.34831,0.06758,0.11319,3

ROUGE-L+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.45948,0.25439,0.32748,3

ROUGE-1+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.56768,0.26190,0.35844,3

ROUGE-2+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.15872,0.06190,0.08907,3

ROUGE-SU4+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.31277,0.09565,0.14650,3

ROUGE-L+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.60822,0.20570,0.30743,4

ROUGE-1+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.74669,0.10395,0.18250,4

ROUGE-2+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.32061,0.03414,0.06170,4

ROUGE-SU4+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.45926,0.04247,0.07776,4

ROUGE-L+StopWordRemoval+Stemming,32092,SUMMARY.TXT,0.52078,0.25362,0.34112,4

