ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.52333,0.26916,0.35549,4

ROUGE-1+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.61282,0.35835,0.45225,4

ROUGE-2+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.19677,0.09496,0.12810,4

ROUGE-SU4+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.33648,0.13382,0.19149,4

ROUGE-L+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.68232,0.03400,0.06478,3

ROUGE-1+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.75785,0.01527,0.02994,3

ROUGE-2+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.41154,0.00679,0.01336,3

ROUGE-SU4+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.54952,0.00606,0.01199,3

ROUGE-L+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.49180,0.15858,0.23983,4

ROUGE-1+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.68793,0.18205,0.28791,4

ROUGE-2+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.27783,0.07531,0.11850,4

ROUGE-SU4+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.38780,0.09183,0.14850,4

ROUGE-L+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.54621,0.32026,0.40377,3

ROUGE-1+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.69538,0.22272,0.33738,3

ROUGE-2+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.37017,0.10068,0.15830,3

ROUGE-SU4+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.47256,0.11252,0.18176,3

ROUGE-L+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.50000,0.26511,0.34650,4

ROUGE-1+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.64284,0.26191,0.37218,4

ROUGE-2+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.28553,0.08771,0.13420,4

ROUGE-SU4+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.40420,0.10657,0.16867,4

ROUGE-L+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.66658,0.26996,0.38429,4

ROUGE-1+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.74723,0.18138,0.29190,4

ROUGE-2+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.46625,0.06413,0.11275,4

ROUGE-SU4+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.55833,0.07360,0.13005,4

ROUGE-L+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.50643,0.29694,0.37437,4

ROUGE-1+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.61539,0.28282,0.38753,4

ROUGE-2+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.25831,0.10830,0.15261,4

ROUGE-SU4+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.38020,0.13013,0.19390,4

ROUGE-L+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.55089,0.18456,0.27649,3

ROUGE-1+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.64994,0.23356,0.34363,3

ROUGE-2+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.27986,0.07273,0.11545,3

ROUGE-SU4+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.36268,0.10101,0.15802,3

ROUGE-L+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.46456,0.32831,0.38473,3

ROUGE-1+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.50866,0.44659,0.47561,3

ROUGE-2+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.14067,0.12507,0.13241,3

ROUGE-SU4+StopWordRemoval+Stemming,32541,SUMMARY.TXT,0.26644,0.18125,0.21574,3

ROUGE-L+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.53549,0.24758,0.33860,5

ROUGE-1+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.67588,0.26274,0.37839,5

ROUGE-2+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.27610,0.07780,0.12140,5

ROUGE-SU4+StopWordRemoval+Stemming,31452,SUMMARY.TXT,0.41587,0.09957,0.16067,5

ROUGE-L+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.53167,0.28359,0.36988,4

ROUGE-1+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.66920,0.36579,0.47302,4

ROUGE-2+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.36620,0.18386,0.24481,4

ROUGE-SU4+StopWordRemoval+Stemming,31573,SUMMARY.TXT,0.44683,0.20320,0.27936,4

ROUGE-L+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.51908,0.27450,0.35910,3

ROUGE-1+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.63526,0.32081,0.42632,3

ROUGE-2+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.22050,0.09454,0.13234,3

ROUGE-SU4+StopWordRemoval+Stemming,30922,SUMMARY.TXT,0.34802,0.12570,0.18469,3

ROUGE-L+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.54529,0.23418,0.32764,3

ROUGE-1+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.70531,0.29059,0.41160,3

ROUGE-2+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.24614,0.10275,0.14498,3

ROUGE-SU4+StopWordRemoval+Stemming,30924,SUMMARY.TXT,0.36383,0.13087,0.19250,3

ROUGE-L+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.56267,0.26364,0.35905,3

ROUGE-1+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.67526,0.25605,0.37130,3

ROUGE-2+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.24292,0.07293,0.11219,3

ROUGE-SU4+StopWordRemoval+Stemming,32548,SUMMARY.TXT,0.39910,0.09705,0.15613,3

ROUGE-L+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.59833,0.12400,0.20543,3

ROUGE-1+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.74521,0.08216,0.14800,3

ROUGE-2+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.27451,0.02549,0.04664,3

ROUGE-SU4+StopWordRemoval+Stemming,31699,SUMMARY.TXT,0.42580,0.03658,0.06736,3

ROUGE-L+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.63414,0.22777,0.33516,4

ROUGE-1+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.70922,0.18396,0.29215,4

